data: 383  enqueue 383     [ 383 ]
data: 886  enqueue 886     [ 383 886 ]
data: 777  enqueue 777     [ 383 886 777 ]
data: 915  enqueue 915     [ 383 886 777 915 ]
data: 793  enqueue 793     [ 383 886 777 915 793 ]
data: 335  enqueue 335     [ 383 886 777 915 793 335 ]
data: 386  enqueue 386     [ 383 886 777 915 793 335 386 ]
data: 492  enqueue 492     [ 383 886 777 915 793 335 386 492 ]
data: 649  enqueue 649     [ 383 886 777 915 793 335 386 492 649 ]
data: 421  enqueue 421     [ 383 886 777 915 793 335 386 492 649 421 ]
data: 362  enqueue 362     [ 383 886 777 915 793 335 386 492 649 421 362 ]
data:  27  dequeue 383     [ 886 777 915 793 335 386 492 649 421 362 ]
data: 690  enqueue 690     [ 886 777 915 793 335 386 492 649 421 362 690 ]
data:  59  dequeue 886     [ 777 915 793 335 386 492 649 421 362 690 ]
data: 763  enqueue 763     [ 777 915 793 335 386 492 649 421 362 690 763 ]
data: 926  enqueue 926     [ 777 915 793 335 386 492 649 421 362 690 763 926 ]
data: 540  enqueue 540     [ 777 915 793 335 386 492 649 421 362 690 763 926 540 ]
data: 426  enqueue 426     [ 777 915 793 335 386 492 649 421 362 690 763 926 540 426 ]
data: 172  dequeue 777     [ 915 793 335 386 492 649 421 362 690 763 926 540 426 ]
data: 736  enqueue 736     [ 915 793 335 386 492 649 421 362 690 763 926 540 426 736 ]
